Num_Acc;catr;circ;nbv;vosp;prof;plan;larrout;surf;infra;situ;vma
202200000001;4;2;2;0;1;1; -1;1;0;1;50
202200000002;4;2;2;0;1;1; -1;1;0;1;50
202200000003;3;-1;2;0;1;1; -1;1;5;1;50
202200000004;4;1;1;0;2;1;4;1;0;1;30
202200000005;3;2;2;0;1;1; -1;1;0;1;80
202200000006;3;3;4;0;1;1; -1;1;0;1;50
202200000007;4;1;1;0;1;1; -1;1;0;1;50
202200000008;4;2;2;0;1;1; -1;1;0;1;30
202200000009;4;2;3;3;1;1; -1;2;0;3;50
202200000010;4;3;1;0;1;1; -1;1;0;1;50
202200000011;3;2;2;0;2;1; -1;2;0;4;70
202200000012;4;3;2;3;1;1; -1;1;0;1;50
202200000013;3;2;2;0;1;1; -1;1;0;1;90
202200000014;4;2;2;0;1;3; -1;1;0;1;80
202200000015;4;1;4;2;1;2; -1;2;0;1;30
202200000016;4;2;2;0;1;1; -1;1;0;1;30
202200000017;4;1;3;1;1;1; -1;1;0;5;30
202200000018;4;3;2;0;2;1; -1;2;0;1;30
202200000019;4;2;2;0;1;1; -1;1;0;1;30
202200000020;4;-1;4;0;1;1; -1;2;0;1;50
202200000021;4;2;4;0;1;3; -1;2;8;1;30
202200000022;4;2;2;0;1;1; -1;1;0;1;30
202200000023;4;1;1;0;1;1; -1;1;0;1;30
202200000024;4;1;3;1;1;1; -1;1;0;1;30
202200000025;4;2;6;1;2;2; -1;2;0;5;50
202200000026;4;2;4;0;1;1; -1;2;0;1;30
202200000027;4;2;2;0;1;1; -1;1;0;1;30
202200000028;4;1;1;0;1;1; -1;1;0;1;30
202200000029;4;2;1;0;1;1; -1;2;5;1;50
202200000030;1;1;2;0;1;2; -1;1;3;1;50
202200000031;3;2;2;0;1;1; -1;2;0;1;50
202200000032;4;1;1;0;1;1; -1;1;0;1;30
202200000033;3;2;2;0;1;1; -1;2;9;1;50
202200000034;3;2;2;1;1;1; -1;1;0;1;50
202200000035;3;2;4;0;1;1; -1;2;6;1;50
202200000036;3;3;1;0;1;1; -1;2;0;1;50
202200000037;4;2;2;0;1;1; -1;2;0;1;50
202200000038;3;2;2;0;1;1; -1;2;0;1;50
202200000039;2;2;4;0;1;1; -1;1;0;1;50
202200000040;3;2;2;0;1;1; -1;1;0;1;50
202200000041;3;2;3;0;1;1; -1;2;0;1;50
202200000042;4;2;2;0;1;1; -1;2;0;1;50
202200000043;5;2;2;0;1;1; -1;1;0;4;50
202200000044;4;3;4;0;2;1; -1;2;5;1;50
202200000045;3;3;4;3;1;1; -1;3;1;1;50
202200000046;4;1;2;0;1;1; -1;1;0;1;30
202200000047;4;1;1;0;1;1; -1;1;0;1;50
202200000048;3;1;2;0;1;3; -1;2;9;1;30
202200000049;4;2;2;0;1;1; -1;2;0;1;30
202200000050;3;3;4;0;1;1; -1;3;0;1;50
202200000051;4;1;1;0;2;2; -1;2;0;8;50
202200000052;3;-1;1;3;1;1; -1;2;6;4;30
202200000053;4;1;1;0;1;1; -1;1;0;1;50
202200000054;3;3;4;0;1;1; -1;2;0;1;70
