Num_Acc;id_vehicule;senc;catv;obs;obsm;manv
202200000001;813 952;1;2;0;2;9
202200000001;813 953;1;7;0;2;1
202200000002;813 950;2;7;0;2;15
202200000002;813 951;2;10;0;2;1
202200000003;813 948;2;7;0;2;2
202200000003;813 949;1;7;0;2;2
202200000004;813 947;2;7;0;1;16
202200000005;813 945;0;7;0;2;1
202200000005;813 946;0;7;0;2;2
202200000006;813 944;1;10;0;1;15
202200000007;813 940;0;7;0;2;0
202200000007;813 941;0;7;1;0;0
202200000008;813 938;2;10;0;2;16
202200000008;813 939;2;2;0;2;1
202200000009;813 937;2;7;0;1;1
202200000010;813 936;1;7;0;1;0
202200000011;813 935;1;7;8;0;0
202200000012;813 933;1;33;0;2;1
202200000012;813 934;1;10;0;0;10
202200000013;813 932;1;7;0;1;1
202200000014;813 930;3;7;0;2;21
202200000014;813 931;3;7;0;2;13
202200000015;813 928;3;7;0;2;23
202200000015;813 929;3;7;7;2;2
202200000016;813 926;2;7;0;2;22
202200000016;813 927;2;99;0;2;1
202200000017;813 924;2;10;0;2;16
202200000017;813 925;2;99;0;2;1
202200000018;813 923;2;10;0;1;1
202200000019;813 921;3;32;0;2;1
202200000019;813 922;3;14;0;2;10
202200000020;813 919;2;33;0;2;1
202200000020;813 920;2;10;0;2;10
202200000021;813 917;3;14;0;2;1
202200000021;813 918;3;7;0;2;21
202200000022;813 916;1;7;1;0;1
202200000023;813 915;3;99;1;0;14
202200000024;813 914;1;7;0;1;15
202200000025;813 913;1;99;9;0;1
202200000026;813 911;1;30;0;2;1
202200000026;813 912;2;7;0;2;15
202200000027;813 910;1;99;0;1;1
202200000028;813 909;2;7;0;1;1
202200000029;813 908;1;7;0;1;15
202200000030;813 907;2;7;4;0;26
202200000031;813 906;0;7;0;1;15
202200000032;813 904;3;7;0;2;24
202200000032;813 905;1;7;1;0;20
202200000033;813 903;1;7;0;1;4
202200000034;813 901;2;2;0;2;1
202200000034;813 902;2;99;0;2;19
202200000035;813 900;1;7;0;1;26
202200000036;813 899;3;10;4;0;1
202200000037;813 898;2;7;0;1;15
202200000038;813 897;3;10;0;1;1
202200000039;813 895;1;7;0;2;1
202200000039;813 896;2;7;0;2;15
202200000040;813 894;0;7;0;1;26
202200000041;813 892;3;13;0;1;0
202200000041;813 893;3;7;0;1;0
202200000042;813 890;0;10;0;2;1
202200000042;813 891;0;7;0;2;0
202200000043;813 889;1;10;9;1;1
202200000044;813 887;1;7;0;2;1
202200000044;813 888;2;7;8;2;15
202200000045;813 885;1;32;0;0;13
202200000045;813 886;1;7;0;2;1
202200000046;813 883;3;99;0;2;1
202200000046;813 884;3;7;0;2;1
202200000047;813 881;0;7;0;0;0
202200000047;813 882;0;99;0;2;0
202200000048;813 878;1;7;0;2;26
202200000048;813 879;1;7;0;2;1
202200000048;813 880;1;7;0;2;26
202200000049;813 877;0;7;14;0;1
202200000050;813 876;1;7;12;1;2
202200000051;813 875;3;99;0;0;26
202200000052;813 874;1;7;8;1;14
202200000053;813 873;1;7;0;1;1
202200000054;813 871;2;10;0;2;2
202200000054;813 872;2;10;0;2;1
202200000055;813 870;1;7;0;1;15
202200000056;813 869;0;30;0;0;1
202200000057;813 867;2;7;0;2;23
202200000057;813 868;2;7;0;2;1
202200000058;813 865;0;99;0;2;1
202200000058;813 866;0;7;0;2;23
202200000059;813 863;2;10;0;2;23
202200000059;813 864;2;99;0;2;19
202200000060;813 861;1;7;0;2;15
202200000060;813 862;2;99;0;2;1
202200000061;813 860;1;37;0;2;1
202200000062;813 858;1;10;0;2;17
202200000062;813 859;1;99;0;2;1
202200000063;813 856;2;32;0;2;9
202200000063;813 857;1;3;0;2;15
202200000064;813 854;2;32;0;2;17
202200000064;813 855;2;7;0;0;20
202200000065;813 853;2;7;3;0;2
202200000066;813 852;2;32;0;0;1
202200000067;813 851;1;31;0;-1;0
202200000068;813 850;1;7;0;1;1
202200000069;813 848;2;99;0;2;1
202200000069;813 849;2;7;0;2;26
202200000070;813 847;1;14;0;1;1
202200000071;813 846;1;2;0;0;1
202200000072;813 844;1;7;0;2;1
202200000072;813 845;2;7;0;2;5
202200000073;813 842;2;14;0;2;1
202200000073;813 843;1;7;0;2;1
202200000074;813 841;1;7;15;0;0
202200000075;813 839;2;14;0;2;3
202200000075;813 840;1;7;0;2;1
202200000076;813 837;2;7;0;2;17
202200000076;813 838;2;33;0;2;15
202200000077;813 835;2;7;0;2;1
202200000077;813 836;1;7;0;2;16
202200000078;813 834;2;7;16;0;14
202200000079;813 832;1;7;0;2;1
202200000079;813 833;2;7;0;2;13
202200000080;813 830;1;7;0;2;1
202200000080;813 831;2;7;13;2;1
202200000081;813 829;2;7;0;1;1
202200000082;813 827;2;7;0;2;1
202200000082;813 828;1;99;0;2;1
202200000083;813 825;2;7;0;9;15
202200000083;813 826;1;99;0;2;1
202200000084;813 824;1;7;13;0;1
202200000085;813 823;1;7;0;0;21
202200000086;813 822;3;7;2;0;1
202200000087;813 820;1;7;0;2;9
202200000087;813 821;2;99;0;2;1
202200000088;813 819;3;7;2;0;1
202200000089;813 818;2;33;0;0;14
202200000090;813 817;2;7;13;0;1
202200000091;813 815;1;7;0;2;1
202200000091;813 816;2;7;0;2;13
202200000092;813 811;2;10;0;2;17
202200000092;813 812;2;99;0;2;1
202200000093;813 809;0;33;0;2;17
202200000093;813 810;0;7;0;9;13
202200000094;813 808;1;2;0;0;1
202200000095;813 805;3;7;0;2;9
202200000095;813 806;3;33;15;2;1
202200000096;813 804;1;7;2;0;14
202200000097;813 801;1;7;0;2;26
202200000097;813 802;2;7;0;2;26
202200000097;813 803;2;7;0;2;1
202200000098;813 799;1;7;0;2;1
202200000098;813 800;1;7;0;0;23
202200000099;813 798;1;7;0;1;1
202200000100;813 796;1;2;0;2;16
202200000100;813 797;2;33;8;2;1
202200000101;813 795;2;7;13;0;1
202200000102;813 793;1;7;0;2;0
202200000102;813 794;1;7;0;0;23
202200000103;813 791;1;7;0;2;13
202200000103;813 792;2;37;0;2;1
202200000104;813 789;1;99;0;0;1
202200000104;813 790;1;10;0;2;17
202200000105;813 788;2;7;8;0;1
202200000106;813 786;1;7;1;0;1
202200000106;813 787;1;7;0;0;24
202200000107;813 785;1;7;13;0;13
202200000108;813 783;1;10;0;2;1
202200000108;813 784;1;2;0;0;2
202200000109;813 781;1;7;0;2;1
202200000109;813 782;2;7;0;2;17
202200000110;813 780;0;31;12;0;17
202200000111;813 779;2;33;4;0;1
202200000112;813 777;1;2;0;2;0
202200000112;813 778;2;7;13;2;5
202200000113;813 776;2;7;2;0;1
202200000114;813 775;1;33;14;0;16
202200000115;813 773;0;33;0;2;18
202200000115;813 774;0;7;0;2;15
202200000116;813 771;2;7;0;2;13
202200000116;813 772;1;2;0;2;1
202200000117;813 770;2;33;4;0;13
202200000118;813 769;1;10;0;1;21
202200000119;813 767;2;7;0;2;1
202200000119;813 768;1;7;0;2;14
202200000120;813 765;1;7;0;2;17
202200000120;813 766;1;99;0;2;1
202200000121;813 764;1;7;0;1;1
202200000122;813 762;1;36;0;2;2
202200000122;813 763;1;36;0;2;1
202200000123;813 755;2;7;0;2;0
202200000123;813 756;2;10;0;2;1
202200000123;813 757;2;14;0;2;1
202200000123;813 758;2;7;0;2;1
202200000123;813 759;2;99;0;2;1
202200000123;813 760;2;7;0;2;0
202200000123;813 761;2;7;0;2;0
202200000124;813 752;2;7;0;2;1
202200000124;813 753;2;33;0;2;1
202200000124;813 754;2;7;0;2;11
202200000125;813 750;2;7;0;2;2
202200000125;813 751;2;33;0;2;23
202200000126;813 746;2;7;0;2;23
202200000126;813 747;2;7;0;2;23
202200000126;813 748;2;10;0;2;23
202200000126;813 749;2;10;0;2;2
202200000127;813 745;2;33;16;0;14
202200000128;813 743;1;33;0;2;2
202200000128;813 744;1;7;0;2;2
202200000129;813 742;2;7;4;0;1
202200000130;813 738;2;10;0;2;2
202200000130;813 739;2;10;0;2;2
202200000130;813 740;2;33;0;2;3
202200000130;813 741;2;7;0;2;2
202200000131;813 735;2;10;0;2;1
202200000131;813 736;2;7;0;2;1
202200000131;813 737;2;10;0;2;1
202200000132;813 733;2;7;0;2;9
202200000132;813 734;2;7;0;2;9
202200000133;813 732;1;7;4;0;1
202200000134;813 731;1;7;4;0;21
202200000135;813 729;1;7;0;9;1
202200000135;813 730;1;7;4;0;1
202200000136;813 727;2;7;0;2;2
202200000136;813 728;2;7;0;2;2
202200000137;813 725;2;7;0;2;11
202200000137;813 726;2;33;0;2;3
202200000138;813 720;2;7;0;2;1
202200000138;813 721;2;7;0;2;23
202200000138;813 722;2;7;0;2;1
202200000138;813 723;2;7;1;0;1
202200000138;813 724;2;10;1;0;2
202200000139;813 719;2;7;4;0;2
202200000140;813 715;2;7;0;2;1
202200000140;813 716;2;7;0;2;5
202200000141;813 713;2;7;0;2;1
202200000141;813 714;1;7;0;2;14
202200000142;813 710;1;7;0;2;1
202200000142;813 711;1;32;0;2;3
202200000142;813 712;1;32;0;2;3
202200000143;813 708;2;7;0;2;2
202200000143;813 709;2;33;0;2;2
202200000144;813 705;2;7;0;2;11
202200000144;813 706;2;7;0;2;1
202200000144;813 707;2;99;0;2;3
202200000145;813 702;1;10;0;2;2
202200000145;813 703;1;7;4;2;2
202200000145;813 704;1;7;0;2;2
202200000146;813 700;1;7;0;2;15
202200000146;813 701;1;99;0;2;1
202200000147;813 698;1;99;0;2;1
202200000147;813 699;2;7;0;2;17
202200000148;813 697;1;10;0;1;1
202200000149;813 696;1;32;0;1;1
202200000150;813 694;1;10;0;0;1
202200000150;813 695;1;30;0;0;9
202200000151;813 691;3;7;0;2;23
202200000151;813 692;3;7;0;2;23
202200000151;813 693;3;7;0;2;2
202200000152;813 690;1;99;0;0;21
202200000153;813 689;1;7;0;1;15
202200000154;813 688;1;7;0;1;1
202200000155;813 687;2;99;0;1;25
202200000156;813 685;1;7;0;2;1
202200000156;813 686;1;7;0;2;9
202200000157;813 684;1;99;0;1;1
202200000158;813 682;1;7;0;2;4
202200000158;813 683;1;10;0;2;2
202200000159;813 680;2;31;0;2;18
202200000159;813 681;1;7;0;2;15
202200000160;813 678;3;7;0;2;1
202200000160;813 679;3;7;0;2;16
202200000161;813 676;1;7;0;2;1
202200000161;813 677;1;99;0;2;16
202200000162;813 674;2;10;0;2;1
202200000162;813 675;2;7;0;2;1
202200000163;813 670;2;3;0;2;1
202200000163;813 671;2;3;0;2;1
202200000164;813 669;3;99;0;0;1
202200000165;813 667;3;99;0;2;16
202200000165;813 668;3;7;0;2;15
202200000166;813 665;3;7;0;2;9
202200000166;813 666;3;99;0;2;1
202200000167;813 663;2;2;0;2;13
202200000167;813 664;1;7;0;2;1
202200000168;813 662;2;7;0;1;0
202200000169;813 661;1;30;4;0;13
202200000170;813 660;3;32;0;1;17
202200000171;813 659;1;7;1;0;1
202200000172;813 657;1;7;0;2;10
202200000172;813 658;1;32;0;2;1
202200000173;813 655;1;7;0;2;2
202200000173;813 656;1;10;0;2;2
202200000174;813 653;2;7;0;2;1
202200000174;813 654;2;15;0;2;12
202200000175;813 651;0;7;0;2;1
202200000175;813 652;0;7;0;2;1
202200000176;813 649;1;7;0;9;22
202200000176;813 650;1;99;1;0;14
202200000177;813 647;1;7;0;2;9
202200000177;813 648;1;33;0;2;1
202200000178;813 645;0;7;0;2;15
202200000178;813 646;3;30;0;2;15
202200000179;813 643;2;99;0;2;1
202200000179;813 644;1;7;0;2;16
202200000180;813 641;3;13;0;2;0
202200000180;813 642;3;7;0;2;9
202200000181;813 639;1;7;0;2;1
202200000181;813 640;1;33;0;2;2
202200000182;813 638;2;7;8;0;13
202200000183;813 636;2;10;0;2;1
202200000183;813 637;2;31;0;2;1
202200000184;813 634;1;7;0;2;1
202200000184;813 635;2;99;0;2;1
202200000185;813 632;3;7;0;2;1
202200000185;813 633;3;33;0;2;10
202200000186;813 631;0;10;0;1;15
202200000187;813 629;1;33;0;2;1
202200000187;813 630;1;99;0;2;15
202200000188;813 628;1;7;0;1;1
202200000189;813 627;2;30;0;1;1
202200000190;813 626;2;10;0;1;1
202200000191;813 624;2;30;0;2;1
202200000191;813 625;2;7;0;2;16
202200000192;813 623;2;7;0;1;5
202200000193;813 621;1;32;0;2;1
202200000193;813 622;2;7;0;2;15
202200000194;813 618;2;7;0;2;15
202200000194;813 619;1;99;0;2;2
202200000194;813 620;1;2;0;2;1
202200000195;813 617;1;7;0;1;0
202200000196;813 615;3;7;0;2;1
202200000196;813 616;2;2;0;2;1
202200000197;813 613;1;34;0;2;17
202200000197;813 614;2;7;0;2;21
202200000198;813 611;0;3;0;2;19
202200000198;813 612;0;32;0;2;1
202200000199;813 609;1;7;0;2;2
202200000199;813 610;1;7;0;2;24
202200000200;813 607;1;99;0;2;1
202200000200;813 608;1;7;0;2;1
202200000201;813 605;1;10;0;2;15
202200000201;813 606;1;30;0;2;15
202200000202;813 603;1;31;0;2;1
202200000202;813 604;1;7;0;2;15
202200000203;813 602;1;99;0;0;15
202200000204;813 600;2;99;0;2;1
202200000204;813 601;1;7;0;2;1
202200000205;813 599;1;7;0;1;16
202200000206;813 598;1;7;7;0;1
202200000207;813 597;0;7;6;0;1
202200000208;813 596;1;7;13;0;1
202200000209;813 594;1;7;0;2;1
202200000209;813 595;2;7;0;2;1
202200000210;813 593;2;33;13;0;1
202200000211;813 591;2;31;0;2;0
202200000211;813 592;1;7;0;0;0
202200000212;813 590;2;10;13;0;1
202200000213;813 589;1;7;16;0;14
202200000214;813 588;2;7;0;1;1
202200000215;813 587;2;33;12;0;23
202200000216;813 585;3;33;0;0;1
202200000217;813 583;3;7;0;9;1
202200000217;813 584;3;99;12;2;14
202200000218;813 581;1;7;0;0;13
202200000218;813 582;2;7;2;0;14
202200000219;813 579;2;7;0;2;15
202200000219;813 580;1;33;0;2;1
202200000220;813 577;1;7;0;2;1
202200000220;813 578;2;2;0;2;1
202200000221;813 576;2;7;2;0;16
202200000222;813 575;1;2;0;0;16
202200000223;813 574;1;7;0;1;1
202200000224;813 572;2;10;0;2;2
202200000224;813 573;2;7;1;2;2
